TIPLOC,NAME,EASTING,NORTHING
LVRPFLF,L'POOL BULK TERM FASTLINE,333369,395038
LWERHCF,LLANWERN TATA DISTBN HCF,335942,187435
LWERNRG,LLANWERN RG (COLAS),337652,187293
LWERWJN,LLANWERN WEST JN,334648,187542
MADE490,MADELEY JN SIG 490,378982,305380
MADE491,MADELEY JN (SALOP) SIG 491,372476,308273
MALRSTG,MALLERSTANG,377717,501178
QUAD070,QUADRING SIGNAL WS7070,521023,334006
QUAD071,QUADRING SIGNAL WS7071,521539,332781
RAM4981,RM EK4981 RAMSGATE,636507,165504
RAM4985,RM EK4985 RAMSGATE,636539,165512
RAM5143,RM EK5143 RAMSGATE,637777,166062
RAM5145,RM EK5145 RAMSGATE,637775,166061
RAMMIEX,RM MI EXT DEPT MINSTER END,636996,165623
RAMMKEX,RM MK EXT DEPT MARGATE END,637316,165761
RAMS12,RAMSGATE SHUNT SIGNAL 12,636473,165495
RAMS77,RAMSGATE SHUNT SIGNAL 77,637788,166069
RAMSCWM,RAMSGATE CWM ROAD,636573,165521
RAMSEXT,RAMSGATE DEPOT EXIT,637324,165766
RBRTEGF,ROBERTSBRIDGE ENGINEERS GF,573351,123791
RCHT26,ROCHESTER SIGNAL 26,574426,168692
RCHTULS,ROCHESTER UP LAYBY SDGS,574585,168450
RDHASDG,REEDHAM TMPR SDG (NORFOLK),641789,302170
RDNG714,READING SIG. T1714,470566,173792
RDNG716,READING SIG. T1716,470568,173794
RDNG726,READING SIG. T1726,470692,173991
RDNG728,READING SIG. T1728,470692,173991
RDNG732,READING SIG. T1732,470554,174015
RDNG804,READING SIG T2804,470078,172858
RDNGHLJ,READING HIGH LEVEL JN,470360,174048
REDB973,REDBRIDGE SIGNAL E973,437807,113156
REDBJN,REDBRIDGE JUNCTION,437208,113549
RIBLHVD,RIBBLEHEAD VIADUCT,376133,479235
RISCA,RISCA & PONTYMISTER,324471,190230
RISCASJ,RISCA SOUTH JN,325809,189537
ROGRSTN,ROGERSTONE,326226,189072
ROODEG,ROOD END GOODS,399983,288834
ROTH748,ROTHERHAM SIGNAL S.748,442057,392240
RTFDDS,RETFORD DOWN SIDINGS,470209,380279
RTHGSTE,RUTHERGLEN S.& T.E.,261379,662318
RUGB117,RUGBY SIGNAL RN9177,451695,275725
RUGB165,RUGBY SIGNAL NR9165,456305,272681
RUGB171,RUGBY SIGNAL NR9171,452202,275381
RUGB179,RUGBY SIGNAL RN4179,450269,276111
RUGB182,RUGBY UGL SIGNAL RN4182,450952,275990
RUGB184,RUGBY UDT SIGNAL RN4184,450811,276031
RUGB304,RUGBY SIGNAL RC9304,450047,276115
RUGB310,RUGBY SIGNAL RC9310,447547,275830
RUGB363,RUGBY SIGNAL NR5363,451830,275652
RUGB370,RUGBY SIGNAL RN3370,447028,278051
RUGB649,RUGBY SIGNAL KR9649,453466,274404
RUGB653,RUGBY SIGNAL KR9653,452299,275306
MARG20,MARGATE SIGNAL GE20,634054,170203
MARNELV,MARNE-LA-VALLEE,260885,667397
MBRK942,MILLBROOK SIG E942,438911,112628
MDTTGBR,MIDDLETON TOWERS GBRF,566894,317991
MILF233,MILFORD SIGNAL M5233,450128,429680
MILF235,MILFORD SIGNAL M5235,450132,429632
MLKR102,MELKRIDGE SIG HW102,373841,563743
MLNR8,MILNER ROYD SIG MR8,403550,425063
MNCRPES,MANCHESTER PIC ENGINE SDG,385349,397600
MOLEJN,MOLEWOOD JUNCTION,531136,216103
MOSEGAS,MOSSEND MG GAS PRODUCTS,275047,660312
MOSEPDS,MOSSEND PD STLG GBRF,274805,661330
MOSESTR,MOSSEND SHUNT & MARSHALLNG,274713,661710
MOTH368,MOTHERWELL SIG M368,275162,658960
MOTH374,MOTHERWELL SIG 374,275125,658378
MOTHSGL,MOTHERWELL ST GOODS LOOP,275062,657080
MRPTBTS,MORPETH BARMOOR THRU SDG,420773,585447
MRPTHRS,MORPETH REVERSING SIDING,420715,585461
MRSLSTC,MARSEILLE ST CHARLES,260885,667397
MRTNGBF,MORETON-ON-LUGG GBRF,351043,246439
MSSNDET,MOSSEND DOWN YARD GBRF,274945,660762
MSTO9,MAIDSTONE EAST SIGNAL ME9,575411,156214
MSTOW57,MAIDSTONE WEST SIGNAL MS57,575198,154927
MSTOWCS,MAIDSTONE WEST CARRIAGE SG,575589,155378
MSTOWUS,MAIDSTONE WEST UP SIDINGS,575547,155151
NABTWJ,NEWTON ABBOT WEST JUNCTION,287100,70348
NBRWGE,NEWBRIDGE (EBBW VALE),321024,196661
NEATABW,NEATH ABBEY WHARF,272835,196322
NEWANGS,NEWARK NORTH GATE SIDINGS,480459,354615
NEWB479,NEWBURY GROUND SIG 479,446673,166668
NEWB484,NEWBURY SIGNAL 484,449435,166734
NEWB831,NEWBURY SIGNAL T6831,448834,166857
NEWB844,NEWBURY SIGNAL T6844,446720,166672
NEWB865,NEWBURY SIGNAL T6865,447890,166825
NMPT050,NORTHAMPTON SIGNAL RY1050,474266,263055
NMPT216,NORTHAMPTON SIGNAL RY1216,474652,261156
NNTN205,NUNEATON SIGNAL WN4205,437681,291740
NNTN226,NUNEATON SIGNAL NW4226,435871,292715
NNTN242,NUNEATON SIG NW4242,434733,292098
NNTN261,NUNEATON SIG. WN1261,437059,291662
NNTN266,NUNEATON SIG NL1266,436002,292675
NNTN427,NUNEATON SIG NL3427,437816,287851
NNTN433,NUNEATON SIG RN5433,436942,291656
NNTN550,NUNEATON SIG NL9550,435614,293059
NNTNANJ,CANAL FARM JUNCTION,434712,294047
NNTNASJ,ASHBY JUNCTION,435281,293404
NNTNCHC,NUNEATON CHILVERS COTON JN,436320,290971
NRCH141,NORWICH CROWN PT SG CP1491,624565,308010
NRCH149,NORWICH CROWN PT SI CP1498,625074,308074
NTHNFHH,NORTHENDEN R.T.S. (FLHH),383644,389127
NTWD,NORTHWOOD,509262,191328
NWAL21,NORTH WALSHAM SIGNAL TB21,628790,328079
NWCGBRF,NEW CUMNOCK (GBRF),261737,614208
NWCOURT,NEWCOURT,296104,90347
NWRKD83,NEWARK SIGNAL D83,480240,355215
NWTLEJ,NEWTON EAST JN,267259,660638
NWTLWJ,NEWTON WEST JN,265581,660393
OLDFLBR,OLDFIELD PARK LWR BRSTL RD,374150,164446
OLDKRDJ,OLD KENT ROAD JUNCTION,535238,177365
ORMMSID,ORMSIDE,369888,517050
OTFO2XO,OTFORD NO 2 XOVER,553343,158779
OXFD121,OXFORD SIGNAL OX121,450338,206898
OXFD90,OXFORD SIGNAL OX90,450519,206048
OXFDWMS,OXFORD WEST MIDLANDS SDGS,450512,206077
OXWLSUF,OXWELLMAINS UP (FL),370926,676409
Pages LC,Pages LC,350526,422407
PAIG3,PAIGNTON SIGNAL 3,289029,60852
PANYPER,PANT-Y-PERON,262557,286386
PARRCHS,PAR CHAPEL SIDING,207678,53904
PBRO434,PETERBOROUGH SIGNAL 434,518672,298789
PBRO797,PETERBOROUGH SIG P797,518771,298560
PBRO798,PETERBOROUGH SIG P798,518812,298427
PERTBAL,PERTH BALLAST SIDINGS,310367,725105
